"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Txlna",0.000115207880028372,0.346565854031177,0.161,0.09,1
"Mrpl27",0.000115821673751224,0.282742267576655,0.251,0.154,1
"Zcchc9",0.000116348944331662,0.331559687436487,0.161,0.09,1
"Paxbp1",0.000116864308217162,0.33290651720268,0.185,0.108,1
"Eif2s2",0.000117135899092708,0.213334402005998,0.704,0.488,1
"Fermt3",0.000117804018305297,0.200654236829245,0.565,0.395,1
"Actr10",0.000121831840998297,0.241253942910357,0.238,0.145,1
"Acsl1",0.000122215381415454,0.303933594715055,0.211,0.129,1
"Ncstn",0.000122375802893982,0.202301400194055,0.243,0.147,1
"Med13l",0.000123969908989514,0.238953830148524,0.221,0.133,1
"Dlgap4",0.00012429606557574,0.232382050132845,0.185,0.107,1
"Tor1b",0.000125109306831409,0.218986062167517,0.15,0.083,1
"Mrfap1",0.00012599714975853,-0.663465185722472,0.491,0.456,1
"Bin3",0.000126378481005908,0.363479055557076,0.175,0.101,1
"Ppp6c",0.000127722772205817,0.276303780984308,0.185,0.107,1
"Pdia4",0.000127994245244114,0.25236256035562,0.213,0.127,1
"Dstn",0.000129277706866024,-0.329053080273117,0.499,0.508,1
"Fam168b",0.000129825319869918,0.226448045049324,0.218,0.131,1
"Mrpl40",0.000131228508102625,0.339847918594568,0.164,0.093,1
"Galnt11",0.000132741485055514,0.396834924722891,0.155,0.087,1
"Tnpo3",0.00013427914228472,0.353247883589124,0.2,0.12,1
"Zfas1",0.000138357213899981,0.255870072587414,0.311,0.203,1
"Havcr2",0.000138997537652913,0.40291494074133,0.239,0.15,1
"Fcgr3",0.000139697947196625,0.245011854794142,0.73,0.597,1
"Ndufa6",0.000143902982262884,-0.363690526961723,0.591,0.547,1
"Mef2a",0.00014630303918041,-0.54178909068789,0.535,0.502,1
"Uhmk1",0.000148453932606639,0.414480997107366,0.15,0.084,1
"Lsm7",0.000148918561090986,0.252747169167167,0.2,0.119,1
"Nagk",0.000151995508450133,0.33773242477402,0.162,0.092,1
"Bmyc",0.00015250972291913,-0.663401120563312,0.272,0.322,1
"Lsm14a",0.000152966743758685,0.227619473149774,0.225,0.136,1
"Plekhm2",0.000161789314911935,0.364374731860493,0.174,0.101,1
"Basp1",0.000164407185947132,0.554634632007122,0.576,0.504,1
"Tmem9b",0.000170509089649031,0.248723275369614,0.198,0.116,1
"Pnrc1",0.000170677381603357,-0.321242564820525,0.803,0.737,1
